"zip","city","county","pop"
"94803","El Sobrante","Contra Costa","26165"
"91740","Glendora","Los Angeles","26115"
"91724","Covina","Los Angeles","26091"
"92284","Yucca Valley","San Bernardino","26085"
"92602","Irvine","Orange","26044"
"90602","Whittier","Los Angeles","25981"
"94123","San Francisco","San Francisco","25941"
"91411","Van Nuys","Los Angeles","25801"
"91030","South Pasadena","Los Angeles","25794"
"94402","San Mateo","San Mateo","25764"
"94530","El Cerrito","Contra Costa","25754"
"91301","Agoura Hills","Los Angeles","25631"
"90304","Inglewood","Los Angeles","25591"
"91784","Upland","San Bernardino","25567"
"95945","Grass Valley","Nevada","25519"
"95503","Eureka","Humboldt","25503"
